ID,Age_class,site,First_captured,Year_birth,Cohort_birth,sex,cohort_sexual_maturity,AFR,Last_captured,lifespan,weaned_juv,age,nb_juv,season
A077,J,Site 1,02/06/2005,2005,Spring,F,Intermediate sexual maturity,15,29/09/2009,53.0,0,15,0,Pre-mast
A077,J,Site 1,02/06/2005,2005,Spring,F,Intermediate sexual maturity,15,29/09/2009,53.0,1,22,2,Post-mast
A077,J,Site 1,02/06/2005,2005,Spring,F,Intermediate sexual maturity,15,29/09/2009,53.0,1,37,3,Pre-mast
A077,J,Site 1,02/06/2005,2005,Spring,F,Intermediate sexual maturity,15,29/09/2009,53.0,1,44,1,Post-mast
A077,J,Site 1,02/06/2005,2005,Spring,F,Intermediate sexual maturity,15,29/09/2009,53.0,1,44,2,Pre-mast
A117,J,Site 1,03/06/2005,2005,Spring,F,Intermediate sexual maturity,15,18/09/2006,16.0,1,15,1,Pre-mast
A120,J,Site 1,28/06/2005,2005,Spring,F,Intermediate sexual maturity,15,27/06/2007,24.0,1,15,2,Pre-mast
A120,J,Site 1,28/06/2005,2005,Spring,F,Intermediate sexual maturity,15,27/06/2007,24.0,0,22,0,Post-mast
A125,A,Site 1,28/06/2005,2004,Summer,M,Early sexual maturity,7,06/10/2008,49.0,0,22,0,Pre-mast
A125,A,Site 1,28/06/2005,2004,Summer,M,Early sexual maturity,7,06/10/2008,49.0,0,30,0,Post-mast
A125,A,Site 1,28/06/2005,2004,Summer,M,Early sexual maturity,7,06/10/2008,49.0,1,45,6,Pre-mast
B005,J,Site 1,26/10/2006,2006,Summer,F,Late sexual maturity,22,11/10/2009,36.0,0,7,0,Post-mast
B005,J,Site 1,26/10/2006,2006,Summer,F,Late sexual maturity,22,11/10/2009,36.0,1,22,2,Pre-mast
B005,J,Site 1,26/10/2006,2006,Summer,F,Late sexual maturity,22,11/10/2009,36.0,1,30,1,Post-mast
B005,J,Site 1,26/10/2006,2006,Summer,F,Late sexual maturity,22,11/10/2009,36.0,1,33,1,Pre-mast
B006,J,Site 1,12/09/2006,2006,Summer,F,Early sexual maturity,7,02/10/2009,37.0,0,7,0,Post-mast
