id,year_of_sampling,capture_date,sex,age,mass,year_of_birth,ALO,lymphocyte_count,neutrophil_count,monocyte_count,eosinophil_count,leukocyte_concentration,included_in_survival_analysis,log_leukocyte_concentration
1,2011,123,f,9,4000,2002,12,15.0,74.0,5.0,6.0,,yes,
1,2013,140,f,11,3280,2002,12,16.0,84.0,0.0,0.0,22032000.0,yes,16.908006499950574
1,2014,136,f,12,3525,2002,12,23.0,74.0,0.0,3.0,33864000.0,yes,17.337863061182897
2,2011,160,m,8,4950,2003,10,26.0,58.0,8.0,8.0,,yes,
2,2012,158,m,9,4675,2003,10,36.0,49.0,5.0,10.0,,yes,
2,2013,171,m,10,4760,2003,10,2.0,44.0,0.0,5.0,,yes,
3,2012,171,f,11,4450,2001,12,37.0,52.0,7.0,4.0,,yes,
3,2013,140,f,12,3900,2001,12,32.0,66.0,1.0,1.0,,yes,
4,2011,127,f,7,4525,2004,8,29.0,65.0,0.0,6.0,,yes,
4,2012,165,f,8,4250,2004,8,31.0,50.0,10.0,8.0,,yes,
5,2011,118,f,7,3650,2004,10,19.0,72.0,6.0,3.0,,yes,
5,2012,138,f,8,3450,2004,10,24.0,70.0,5.0,1.0,,yes,
5,2013,136,f,9,3050,2004,10,33.0,63.0,1.0,3.0,16626000.0,yes,16.62647829307317
5,2014,137,f,10,3800,2004,10,85.0,10.0,5.0,0.0,4794000.0,yes,15.382875693976466
6,2011,119,f,7,3125,2004,11,25.0,67.0,6.0,2.0,,yes,
6,2013,139,f,9,2760,2004,11,46.0,46.0,4.0,4.0,,yes,
6,2014,139,f,10,3375,2004,11,34.0,66.0,0.0,0.0,11934000.0,yes,16.294902027064165
6,2015,135,f,11,3375,2004,11,21.0,75.0,3.0,1.0,16217999.2296864,yes,16.60163224698919
7,2012,156,m,7,3900,2005,10,42.0,43.0,9.0,5.0,,yes,
7,2013,149,m,8,3590,2005,10,61.0,38.0,0.0,0.0,,yes,
7,2015,143,m,10,4175,2005,10,35.0,57.0,6.0,1.0,,yes,
8,2011,148,f,6,3450,2005,9,34.0,59.0,2.0,5.0,,yes,
8,2012,166,f,7,3500,2005,9,31.0,58.0,3.0,8.0,,yes,
