ID,age,year_sampling,year_of_birth,sex,HA,hapto,initial_lysis,pre-scan_absorbance,assay_batch_HAHL,assay_batch_hapto,storage_time_HAHL,storage_time_hapto
1,11,2017,2006,2,12.0,0.083366,1.0,0.174,2017.0,2018.0,0.0,1.0
1,12,2018,2006,2,14.0,0.730218,5.0,0.201,2018.0,2018.0,0.0,0.0
1,13,2019,2006,2,12.0,0.181307,3.0,0.134,2020.0,2020.0,1.0,1.0
2,8,2016,2008,1,10.0,0.12275,3.0,0.149,2018.0,2018.0,2.0,2.0
2,10,2018,2008,1,17.0,1.425807,6.0,0.4,2018.0,2018.0,0.0,0.0
2,11,2019,2008,1,11.0,0.192533,1.0,0.147,2020.0,2020.0,1.0,1.0
3,8,2018,2010,1,13.0,,5.0,,2019.0,,1.0,
3,9,2019,2010,1,12.0,0.423025,4.0,0.169,2020.0,2020.0,1.0,1.0
4,11,2008,1997,1,9.0,,4.0,,2017.0,,9.0,
4,12,2009,1997,1,13.0,,2.0,,2017.0,,8.0,
5,4,2014,2010,2,12.0,,1.0,,2017.0,,3.0,
5,7,2017,2010,2,13.0,,1.0,,2017.0,,0.0,
5,8,2018,2010,2,15.0,,5.0,,2018.0,,0.0,
6,14,2008,1994,2,10.0,,1.0,,2017.0,,9.0,
6,17,2011,1994,2,12.0,,5.0,,2017.0,,6.0,
6,18,2012,1994,2,12.0,,1.0,,2017.0,,5.0,
6,19,2013,1994,2,12.0,,1.0,,2017.0,,4.0,
7,8,2009,2001,2,12.0,,6.0,,2017.0,,8.0,
8,8,2018,2010,2,8.0,0.402443,2.0,0.116,2020.0,2020.0,2.0,2.0
8,9,2019,2010,2,9.0,0.059313,1.0,0.124,2020.0,2020.0,1.0,1.0
9,7,2008,2001,1,12.0,,1.0,,2017.0,,9.0,
9,8,2009,2001,1,13.0,,4.0,,2017.0,,8.0,
10,9,2019,2010,1,6.0,0.526433,5.0,0.184,2020.0,2020.0,1.0,1.0
11,16,2016,2000,2,12.0,0.50839,2.0,0.151,2017.0,2017.0,1.0,1.0
11,17,2017,2000,2,12.0,0.250491,1.0,0.126,2017.0,2017.0,0.0,0.0
11,18,2018,2000,2,12.0,0.838923,7.0,0.344,2018.0,2018.0,0.0,0.0
11,19,2019,2000,2,12.0,0.744444,3.0,0.196,2020.0,2020.0,1.0,1.0
12,8,2009,2001,2,12.0,1.6124,5.0,0.115,2017.0,2018.0,8.0,9.0
12,11,2012,2001,2,12.0,0.80887,6.0,0.226,2017.0,2018.0,5.0,6.0
12,13,2014,2001,2,10.0,4.615277,8.0,2.532,2017.0,2018.0,3.0,4.0
12,17,2018,2001,2,14.0,0.621513,2.0,0.17,2018.0,2018.0,0.0,0.0
12,18,2019,2001,2,11.0,0.271115,2.0,0.207,2020.0,2020.0,1.0,1.0
13,7,2008,2001,2,7.0,,1.0,,2017.0,,9.0,
13,8,2009,2001,2,12.0,,2.0,,2017.0,,8.0,
13,11,2012,2001,2,15.0,,8.0,,2017.0,,5.0,
13,12,2013,2001,2,12.0,,1.0,,2017.0,,4.0,
13,17,2018,2001,2,16.0,,2.0,,2018.0,,0.0,
13,18,2019,2001,2,9.0,0.161647,2.0,0.11,2020.0,2020.0,1.0,1.0
14,4,2017,2013,1,16.0,0.339399,4.0,0.196,2018.0,2018.0,1.0,1.0
14,5,2018,2013,1,10.0,0.424754,6.0,0.21,2018.0,2018.0,0.0,0.0
14,6,2019,2013,1,10.0,0.535056,3.0,0.229,2020.0,2020.0,1.0,1.0
15,11,2012,2001,1,12.0,,8.0,,2017.0,,5.0,
15,12,2013,2001,1,8.0,,1.0,,2017.0,,4.0,
16,3,2011,2008,1,10.0,,2.0,,2017.0,,6.0,
16,5,2013,2008,1,12.0,,8.0,,2017.0,,4.0,
17,5,2017,2012,1,11.0,0.024548,1.0,0.171,2018.0,2018.0,1.0,1.0
17,6,2018,2012,1,15.0,0.467415,7.0,0.213,2018.0,2018.0,0.0,0.0
17,7,2019,2012,1,10.0,0.136403,2.0,0.117,2020.0,2020.0,1.0,1.0
18,4,2014,2010,1,,0.294656,,0.133,,2020.0,,6.0
18,9,2019,2010,1,10.0,0.380569,2.0,0.134,2020.0,2020.0,1.0,1.0
19,9,2009,2000,1,10.0,,8.0,,2017.0,,8.0,
19,16,2016,2000,1,10.0,0.052107,1.0,0.139,2017.0,2017.0,1.0,1.0
19,17,2017,2000,1,12.0,0.124848,1.0,0.35,2017.0,2017.0,0.0,0.0
19,18,2018,2000,1,11.0,1.166315,7.0,0.289,2018.0,2018.0,0.0,0.0
19,19,2019,2000,1,14.0,0.478796,3.0,0.578,2020.0,2020.0,1.0,1.0
20,4,2017,2013,1,10.0,0.0,1.0,0.13,2018.0,2018.0,1.0,1.0
20,5,2018,2013,1,10.0,0.634302,7.0,0.324,2018.0,2018.0,0.0,0.0
20,6,2019,2013,1,9.0,0.088693,1.0,0.155,2020.0,2020.0,1.0,1.0
21,4,2017,2013,1,6.0,0.079433,2.0,0.117,2018.0,2018.0,1.0,1.0
21,5,2018,2013,1,12.0,1.238573,6.0,0.29,2018.0,2018.0,0.0,0.0
21,6,2019,2013,1,11.0,0.380569,3.0,0.145,2020.0,2020.0,1.0,1.0
22,7,2019,2012,2,12.0,0.480078,3.0,0.191,2020.0,2020.0,1.0,1.0
23,6,2018,2012,2,,1.228981,,0.247,,2018.0,,0.0
24,7,2008,2001,2,9.0,,2.0,,2017.0,,9.0,
24,8,2009,2001,2,12.0,,1.0,,2017.0,,8.0,
25,14,2009,1995,1,15.0,0.053296,2.0,0.144,2017.0,2017.0,8.0,8.0
25,15,2010,1995,1,10.0,,2.0,,2017.0,,7.0,
25,18,2013,1995,1,9.0,,3.0,,2017.0,,4.0,
25,22,2017,1995,1,13.0,0.089975,1.0,0.159,2017.0,2017.0,0.0,0.0
26,9,2008,1999,1,8.0,0.005613,1.0,0.138,2017.0,2017.0,9.0,9.0
26,10,2009,1999,1,12.0,,4.0,,2017.0,,8.0,
26,12,2011,1999,1,12.0,,5.0,,2017.0,,6.0,
26,13,2012,1999,1,13.0,,3.0,,2017.0,,5.0,
26,17,2016,1999,1,10.0,,1.0,,2017.0,,1.0,
26,18,2017,1999,1,12.0,0.031288,1.0,0.134,2017.0,2017.0,0.0,0.0
26,19,2018,1999,1,19.0,4.32656,6.0,0.743,2018.0,2018.0,0.0,0.0
26,20,2019,1999,1,11.0,0.481603,4.0,0.16,2020.0,2020.0,1.0,1.0
27,23,2017,1994,2,13.0,0.485245,3.0,0.151,2017.0,2017.0,0.0,0.0
28,6,2019,2013,2,,1.146882,,0.343,,2020.0,,1.0
29,9,2009,2000,2,12.0,,7.0,,2017.0,,8.0,
29,10,2010,2000,2,13.0,,8.0,,2017.0,,7.0,
29,12,2012,2000,2,8.0,,3.0,,2017.0,,5.0,
29,14,2014,2000,2,12.0,,5.0,,2017.0,,3.0,
29,18,2018,2000,2,17.0,,7.0,,2018.0,,0.0,
30,7,2008,2001,1,9.0,,1.0,,2017.0,,9.0,
30,8,2009,2001,1,12.0,,4.0,,2017.0,,8.0,
31,7,2018,2011,1,13.0,,6.0,,2019.0,,1.0,
31,8,2019,2011,1,7.0,0.323183,3.0,0.343,2020.0,2020.0,1.0,1.0
32,6,2018,2012,2,8.0,,4.0,,2019.0,,1.0,
33,14,2013,1999,2,7.0,0.045494,1.0,0.139,2017.0,2017.0,4.0,4.0
33,15,2014,1999,2,,,7.0,,2017.0,,3.0,
33,18,2017,1999,2,12.0,1.1333,5.0,0.25,2017.0,2017.0,0.0,0.0
33,19,2018,1999,2,13.0,2.01053,6.0,0.351,2018.0,2018.0,0.0,0.0
34,13,2016,2003,2,9.0,0.089673,1.0,0.124,2018.0,2018.0,2.0,2.0
34,15,2018,2003,2,18.0,2.280452,8.0,0.743,2018.0,2018.0,0.0,0.0
34,16,2019,2003,2,9.0,0.324439,2.0,0.228,2020.0,2020.0,1.0,1.0
35,5,2019,2014,2,10.0,0.569223,7.0,0.198,2020.0,2020.0,1.0,1.0
36,3,2011,2008,2,12.0,,3.0,,2017.0,,6.0,
36,5,2013,2008,2,4.0,,1.0,,2017.0,,4.0,
37,4,2014,2010,2,8.0,0.091784,2.0,0.132,2017.0,2017.0,3.0,3.0
37,6,2016,2010,2,12.0,0.600969,2.0,0.114,2017.0,2017.0,1.0,1.0
37,7,2017,2010,2,12.0,0.111622,1.0,0.122,2017.0,2017.0,0.0,0.0
37,8,2018,2010,2,12.0,0.503217,4.0,0.16,2018.0,2018.0,0.0,0.0
37,9,2019,2010,2,11.0,0.315198,2.0,0.173,2020.0,2020.0,1.0,1.0
38,12,2013,2001,1,13.0,0.70523,6.0,0.27,2018.0,2018.0,5.0,5.0
38,17,2018,2001,1,12.0,0.727021,6.0,0.267,2018.0,2018.0,0.0,0.0
38,18,2019,2001,1,11.0,0.969934,5.0,0.348,2020.0,2020.0,1.0,1.0
39,3,2017,2014,2,9.0,0.038387,1.0,0.126,2018.0,2018.0,1.0,1.0
39,4,2018,2014,2,8.0,1.508845,7.0,0.351,2018.0,2018.0,0.0,0.0
39,5,2019,2014,2,10.0,0.381505,2.0,0.124,2020.0,2020.0,1.0,1.0
40,9,2008,1999,2,,,1.0,,2017.0,,9.0,
40,10,2009,1999,2,12.0,,2.0,,2017.0,,8.0,
40,14,2013,1999,2,12.0,,1.0,,2017.0,,4.0,
41,6,2009,2003,1,12.0,0.815885,5.0,0.321,2017.0,2017.0,8.0,8.0
41,13,2016,2003,1,,0.38936,4.0,0.226,2017.0,2017.0,1.0,1.0
41,14,2017,2003,1,13.0,0.303393,1.0,0.173,2017.0,2017.0,0.0,0.0
41,15,2018,2003,1,12.0,0.683246,7.0,0.207,2018.0,2018.0,0.0,0.0
41,16,2019,2003,1,6.0,0.0,2.0,0.38,2020.0,2020.0,1.0,1.0
42,6,2014,2008,1,,0.746058,,0.223,,2018.0,,4.0
42,8,2016,2008,1,12.0,0.010848,1.0,0.104,2017.0,2018.0,1.0,2.0
42,9,2017,2008,1,14.0,0.741029,5.0,0.222,2017.0,2018.0,0.0,1.0
42,10,2018,2008,1,16.0,0.77653,7.0,0.431,2018.0,2018.0,0.0,0.0
43,9,2012,2003,2,9.0,,2.0,,2017.0,,5.0,
44,13,2009,1996,1,12.0,,2.0,,2017.0,,8.0,
44,15,2011,1996,1,14.0,,7.0,,2017.0,,6.0,
45,8,2017,2009,1,15.0,0.339764,5.0,0.234,2017.0,2017.0,0.0,0.0
45,9,2018,2009,1,13.0,0.400592,3.0,0.274,2018.0,2018.0,0.0,0.0
45,10,2019,2009,1,11.0,0.702566,4.0,0.296,2020.0,2020.0,1.0,1.0
46,7,2008,2001,1,10.0,0.009281,2.0,0.116,2017.0,2017.0,9.0,9.0
46,9,2010,2001,1,12.0,,3.0,,2017.0,,7.0,
46,11,2012,2001,1,9.0,0.299045,2.0,0.171,2017.0,2017.0,5.0,5.0
46,17,2018,2001,1,14.0,0.207923,3.0,0.113,2018.0,2018.0,0.0,0.0
47,3,2017,2014,1,6.0,1.8957,3.0,0.14,2020.0,2020.0,3.0,3.0
47,5,2019,2014,1,14.0,0.507137,3.0,0.153,2020.0,2020.0,1.0,1.0
48,12,2009,1997,2,10.0,,2.0,,2017.0,,8.0,
48,15,2012,1997,2,9.0,,1.0,,2017.0,,5.0,
49,12,2008,1996,1,9.0,0.0,1.0,0.27,2017.0,2017.0,9.0,9.0
49,13,2009,1996,1,9.0,,3.0,,2017.0,,8.0,
49,16,2012,1996,1,13.0,,4.0,,2017.0,,5.0,
