female,year,area,obs,pred,YR_FL,loc_density,f_status,f_min_age,f_ALR,mean_age,delta_age,mean_age_LD,delta_age_LD,LR,HD,LD,CS,BS,hatch,ACW,FL,recruits
1986,38,5,2986,0,7.4,1.14,0,1,1,1,0,1,0,1,26,3,10,9,0.9,180,9,3
2220,38,4,3379,0,7.4,0.52,0,1,1,1,0,1,0,1,27,5,10,10,1,175,10,0
4270,31,4,6366,0,7.7,0.38,1,1,1,1,0,1,0,1,31,6,10,10,1,207,10,0
4298,31,4,6410,0,7.7,0.38,1,1,1,1,0,1,0,1,31,6,11,11,1,183,11,1
4265,31,4,6359,0,7.7,0.38,1,1,1,1,0,1,0,1,31,6,12,12,1,190,12,1
4399,43,8,6543,0,6.8,0.84,1,1,1,1,0,1,0,1,30,7,10,9,0.9,,9,0
1781,31,4,2697,0,7.7,0.38,0,1,1,1,0,1,0,1,34,7,12,11,0.92,190,11,0
4201,31,4,6272,0,7.7,0.38,1,1,1,1,0,1,0,1,25,7,9,9,1,198,9,1
5178,38,4,7814,0,7.4,0.52,1,1,1,1,0,1,0,1,28,7,9,9,1,,0,0
4256,31,4,6348,0,7.7,0.38,1,1,1,1,0,1,0,1,31,7,10,10,1,181,10,0
4226,31,1,6305,0,7.7,1.11,1,1,1,1,0,1,0,1,31,7,10,10,1,185,10,0
5172,38,2,7804,0,7.4,1.39,1,1,1,1,0,1,0,1,30,7,11,11,1,,0,0
5187,39,4,7826,0,6.7,0.48,1,1,1,1,0,1,0,1,33,8,9,6,0.67,165,6,0
5386,43,3,8125,0,6.8,0.77,1,1,1,1,0,1,0,1,33,8,7,6,0.86,186,6,0
5382,43,2,8120,0,6.8,1.98,0,1,1,1,0,1,0,1,31,8,9,8,0.89,154,6,0
4945,38,1,7459,0,7.4,1.4,1,1,1,1,0,1,0,1,29,8,8,8,1,143,3,0
4398,43,4,6542,0,6.8,0.46,1,1,1,1,0,1,0,1,29,9,7,6,0.86,187,6,0
5388,43,9,8127,0,6.8,1.67,1,1,1,1,0,1,0,1,34,9,9,8,0.89,184,8,0
5147,38,9,7765,0,7.4,1.79,1,1,1,1,0,1,0,1,31,9,9,8,0.89,181,8,1
5260,43,5,7934,0,6.8,1.92,1,1,1,1,0,1,0,1,31,9,9,8,0.89,181,8,2
2079,43,2,3147,0,6.8,1.98,0,1,1,1,0,1,0,1,31,9,9,8,0.89,,0,0
4300,31,4,6415,0,7.7,0.38,1,1,1,1,0,1,0,1,34,9,10,9,0.9,205,9,1
4396,43,4,6540,0,6.8,0.46,1,1,1,1,0,1,0,1,33,9,6,6,1,165,6,1
4304,31,4,6423,0,7.7,0.38,0,1,1,1,0,1,0,1,31,9,9,9,1,193,9,2
2078,43,2,3146,0,6.8,1.98,0,1,1,1,0,1,0,1,31,9,9,9,1,184,9,0
1780,31,4,2696,0,7.7,0.38,0,1,1,1,0,1,0,1,33,9,11,11,1,182,11,1
2424,43,5,3692,0,6.8,1.92,0,1,1,1,0,1,0,1,34,9,11,11,1,172,8,0
4849,36,5,7307,0,7.5,1.01,1,1,1,1,0,1,0,1,33,10,9,7,0.78,192,7,1
4944,38,1,7458,0,7.4,1.4,1,1,1,1,0,1,0,1,34,10,8,7,0.88,193,6,1
5131,38,1,7741,0,7.4,1.4,1,1,1,1,0,1,0,1,32,10,9,8,0.89,,0,0
5261,43,1,7935,0,6.8,1.61,1,1,1,1,0,1,0,1,34,10,9,8,0.89,,8,0
3694,45,6,5599,0,7.4,0.36,0,1,1,1,0,1,0,1,37,10,10,9,0.9,193,9,3
4950,36,5,7467,0,7.5,1.01,0,1,1,1,0,1,0,1,34,10,10,9,0.9,200,9,4
5166,38,3,7797,0,7.4,0.83,1,1,1,1,0,1,0,1,33,10,11,10,0.91,194,10,1
4809,36,4,7236,0,7.5,0.46,1,1,1,1,0,1,0,1,35,10,12,11,0.92,186,11,4
5098,38,4,7692,0,7.4,0.52,1,1,1,1,0,1,0,1,32,10,7,7,1,193,7,1
2445,38,5,3721,0,7.4,1.14,0,1,1,1,0,1,0,1,33,10,9,9,1,196,9,0
4940,38,5,7453,0,7.4,1.14,1,1,1,1,0,1,0,1,32,10,9,9,1,162,9,0
5137,38,5,7752,0,7.4,1.14,1,1,1,1,0,1,0,1,32,10,10,10,1,180,10,1
4220,31,4,6298,0,7.7,0.38,1,1,1,1,0,1,0,1,33,10,11,11,1,192,11,0
5146,38,4,7764,0,7.4,0.52,1,1,1,1,0,1,0,1,35,11,8,5,0.63,184,5,0
2179,38,8,3317,0,7.4,0.51,0,1,1,1,0,1,0,1,34,11,9,7,0.78,185,7,2
5127,38,4,7733,0,7.4,0.52,1,1,1,1,0,1,0,1,34,11,9,8,0.89,191,8,1
5140,38,2,7756,0,7.4,1.39,1,1,1,1,0,1,0,1,33,11,8,8,1,189,8,1
2162,36,4,3290,0,7.5,0.46,0,1,1,1,0,1,0,1,32,11,9,9,1,190,9,5
2733,43,4,4119,0,6.8,0.46,0,1,1,1,0,1,0,1,32,11,9,9,1,,0,0
2641,45,5,4012,0,7.4,1.27,0,1,1,1,0,1,0,1,,11,9,9,1,,9,1
4898,36,4,7394,0,7.5,0.46,1,1,1,1,0,1,0,1,32,11,10,10,1,187,10,1
2735,43,3,4121,0,6.8,0.77,0,1,2,1,0,1,0,0,32,12,7,4,0.57,193,4,0
2734,43,3,4120,0,6.8,0.77,0,1,1,1,0,1,0,1,34,12,9,6,0.67,172,6,1
5171,38,3,7803,0,7.4,0.83,1,1,1,1,0,1,0,1,40,12,10,7,0.7,187,7,1
4894,36,4,7386,0,7.5,0.46,1,1,1,1,0,1,0,1,33,12,9,7,0.78,196,7,3
5170,38,6,7802,0,7.4,0.68,1,1,2,1,0,1,0,0,37,12,11,9,0.82,198,9,0
1971,36,5,2970,0,7.5,1.01,0,1,1,1,0,1,0,1,34,12,9,8,0.89,188,8,1
2186,38,9,3325,0,7.4,1.79,0,1,1,1,0,1,0,1,38,12,10,9,0.9,190,9,1
4219,31,6,6297,0,7.7,0.49,1,1,1,1,0,1,0,1,37,12,11,10,0.91,173,10,1
