Obs_num,Rep,F1_ID,F0_ID,Paternal_age,Paternal_sperm_age,Treatment,Sex,F1_Age,F2_Count,LS,Censored,Mean_age,Delta_age,ALR,Mean_age2,Age2
3157,R3,D2.R3.OO.11,R3.OO.11,O,O,OO,Female,4,4,7,1,4,0,4,16,16
3170,R3,D3.R3.YO.26,R3.YO.26,Y,O,YO,Female,4,57,7,1,4,0,4,16,16
3459,R4,D1.R4.YY.2,R4.YY.2,Y,Y,YY,Female,4,66,9,1,18,-14,32,324,16
4266,R4,D1.R4.YY.2,R4.YY.2,Y,Y,YY,Female,32,0,9,1,18,14,32,324,1024
3143,R3,D3.R3.OY.28,R3.OY.28,O,Y,OY,Female,4,0,9,1,4,0,4,16,16
554,R2,D2.R2.YY.26,R2.YY.26,Y,Y,YY,Female,4,67,10,1,4,0,4,16,16
1,R1,D1.R1.OY.12,R1.OY.12,O,Y,OY,Female,4,74,13,1,4,0,4,16,16
104,R1,D2.R1.OY.36,R1.OY.36,O,Y,OY,Female,4,86,13,1,4,0,4,16,16
108,R1,D1.R1.OO.9,R1.OO.9,O,O,OO,Female,4,62,15,1,4,0,4,16,16
525,R2,D1.R2.OY.25,R2.OY.25,O,Y,OY,Female,4,27,15,1,4,0,4,16,16
3368,R4,D1.R4.OO.26,R4.OO.26,O,O,OO,Female,4,23,15,1,4,0,4,16,16
86,R1,D2.R1.OY.71,R1.OY.71,O,Y,OY,Female,4,85,15,1,4,0,4,16,16
177,R1,D2.R1.YY.14,R1.YY.14,Y,Y,YY,Female,4,79,15,1,4,0,4,16,16
106,R1,D2.R1.YY.3,R1.YY.3,Y,Y,YY,Female,4,68,15,1,4,0,4,16,16
458,R2,D2.R2.OO.31,R2.OO.31,O,O,OO,Female,4,67,15,1,4,0,4,16,16
639,R2,D2.R2.OO.31,R2.OO.31,O,O,OO,Female,4,43,15,1,4,0,4,16,16
198,R1,D3.R1.YO.22,R1.YO.22,Y,O,YO,Female,4,59,15,1,4,0,4,16,16
3395,R4,D3.R4.YO.16,R4.YO.16,Y,O,YO,Female,4,62,15,1,4,0,4,16,16
621,R2,D2.R2.YO.21,R2.YO.21,Y,O,YO,Female,4,44,16,1,4,0,4,16,16
3364,R4,D1.R4.OO.14,R4.OO.14,O,O,OO,Female,4,77,17,1,4,0,4,16,16
3418,R4,D2.R4.OO.9,R4.OO.9,O,O,OO,Female,4,16,17,1,4,0,4,16,16
32,R1,D3.R1.OO.19,R1.OO.19,O,O,OO,Female,4,42,18,1,4,0,4,16,16
48,R1,D3.R1.YO.8,R1.YO.8,Y,O,YO,Female,4,35,18,1,4,0,4,16,16
143,R1,D3.R1.YY.27,R1.YY.27,Y,Y,YY,Female,4,72,18,1,4,0,4,16,16
3136,R3,D3.R3.OY.14,R3.OY.14,O,Y,OY,Female,4,0,18,1,4,0,4,16,16
4,R1,D1.R1.OO.10,R1.OO.10,O,O,OO,Female,4,64,21,1,11,-7,18,121,16
1022,R1,D1.R1.OO.10,R1.OO.10,O,O,OO,Female,18,0,21,1,11,7,18,121,324
52,R1,D1.R1.OY.26,R1.OY.26,O,Y,OY,Female,4,62,21,1,11,-7,18,121,16
1096,R1,D1.R1.OY.26,R1.OY.26,O,Y,OY,Female,18,15,21,1,11,7,18,121,324
199,R1,D1.R1.OY.29,R1.OY.29,O,Y,OY,Female,4,61,21,1,11,-7,18,121,16
976,R1,D1.R1.OY.29,R1.OY.29,O,Y,OY,Female,18,0,21,1,11,7,18,121,324
513,R2,D1.R2.OO.18,R2.OO.18,O,O,OO,Female,4,77,22,1,11,-7,18,121,16
1353,R2,D1.R2.OO.18,R2.OO.18,O,O,OO,Female,18,19,22,1,11,7,18,121,324
680,R2,D1.R2.OY.4,R2.OY.4,O,Y,OY,Female,4,63,22,1,11,-7,18,121,16
1341,R2,D1.R2.OY.4,R2.OY.4,O,Y,OY,Female,18,0,22,1,11,7,18,121,324
603,R2,D1.R2.YO.25,R2.YO.25,Y,O,YO,Female,4,62,22,1,11,-7,18,121,16
1318,R2,D1.R2.YO.25,R2.YO.25,Y,O,YO,Female,18,8,22,1,11,7,18,121,324
561,R2,D1.R2.YO.7,R2.YO.7,Y,O,YO,Female,4,71,22,1,11,-7,18,121,16
1355,R2,D1.R2.YO.7,R2.YO.7,Y,O,YO,Female,18,7,22,1,11,7,18,121,324
687,R2,D1.R2.YY.7,R2.YY.7,Y,Y,YY,Female,4,72,22,1,11,-7,18,121,16
1340,R2,D1.R2.YY.7,R2.YY.7,Y,Y,YY,Female,18,0,22,1,11,7,18,121,324
617,R2,D2.R2.OO.41,R2.OO.41,O,O,OO,Female,4,50,22,1,11,-7,18,121,16
1441,R2,D2.R2.OO.41,R2.OO.41,O,O,OO,Female,18,24,22,1,11,7,18,121,324
3197,R3,D2.R3.OY.26,R3.OY.26,O,Y,OY,Female,4,34,22,1,11,-7,18,121,16
3640,R3,D2.R3.OY.26,R3.OY.26,O,Y,OY,Female,18,0,22,1,11,7,18,121,324
3193,R3,D2.R3.OY.4,R3.OY.4,O,Y,OY,Female,4,64,22,1,11,-7,18,121,16
3622,R3,D2.R3.OY.4,R3.OY.4,O,Y,OY,Female,18,16,22,1,11,7,18,121,324
3407,R4,D2.R4.OO.18,R4.OO.18,O,O,OO,Female,4,75,22,1,11,-7,18,121,16
3841,R4,D2.R4.OO.18,R4.OO.18,O,O,OO,Female,18,0,22,1,11,7,18,121,324
18,R1,D3.R1.OO.59,R1.OO.59,O,O,OO,Female,4,58,22,1,11,-7,18,121,16
1120,R1,D3.R1.OO.59,R1.OO.59,O,O,OO,Female,18,29,22,1,11,7,18,121,324
626,R2,D3.R2.OO.54,R2.OO.54,O,O,OO,Female,4,0,22,1,11,-7,18,121,16
1334,R2,D3.R2.OO.54,R2.OO.54,O,O,OO,Female,18,0,22,1,11,7,18,121,324
3469,R4,D3.R4.YY.19,R4.YY.19,Y,Y,YY,Female,4,54,22,1,11,-7,18,121,16
3892,R4,D3.R4.YY.19,R4.YY.19,Y,Y,YY,Female,18,0,22,1,11,7,18,121,324
3406,R4,D1.R4.YY.26,R4.YY.26,Y,Y,YY,Female,4,67,23,1,11,-7,18,121,16
3850,R4,D1.R4.YY.26,R4.YY.26,Y,Y,YY,Female,18,0,23,1,11,7,18,121,324
3414,R4,D3.R4.OY.10,R4.OY.10,O,Y,OY,Female,4,26,23,1,11,-7,18,121,16
3827,R4,D3.R4.OY.10,R4.OY.10,O,Y,OY,Female,18,0,23,1,11,7,18,121,324
35,R1,D1.R1.OY.25,R1.OY.25,O,Y,OY,Female,4,49,24,1,11,-7,18,121,16
1027,R1,D1.R1.OY.25,R1.OY.25,O,Y,OY,Female,18,14,24,1,11,7,18,121,324
