FemaleID,ObsYear,FemaleCohort,AgeLastObs,Age,Fecundity,OffspringRecruitment,BredYearling,EarlyLifeRec
18337,28,48,10,5,0,,0,1
18337,27,48,10,6,1,1,0,1
18337,3,48,10,7,1,0,0,1
18337,61,48,10,8,1,1,0,1
18337,9,48,10,9,1,0,0,1
18337,95,48,10,10,0,,0,1
15342,28,48,9,5,1,1,0,1
15342,27,48,9,6,1,1,0,1
15342,3,48,9,7,1,0,0,1
15342,61,48,9,8,1,0,0,1
15342,9,48,9,9,0,,0,1
6959,28,48,8,5,1,1,0,2
6959,27,48,8,6,1,0,0,2
6959,3,48,8,7,1,1,0,2
6959,61,48,8,8,1,1,0,2
4650,28,48,8,5,1,1,1,1
4650,27,48,8,6,0,,1,1
4650,3,48,8,7,1,1,1,1
4650,61,48,8,8,0,,1,1
12702,27,67,6,5,1,0,1,1
12702,3,67,6,6,1,0,1,1
8258,27,67,12,5,1,0,1,1
8258,3,67,12,6,1,1,1,1
8258,61,67,12,7,1,0,1,1
8258,9,67,12,8,1,0,1,1
8258,95,67,12,9,1,1,1,1
8258,57,67,12,10,1,1,1,1
8258,68,67,12,11,1,0,1,1
8258,63,67,12,12,0,,1,1
8046,27,67,9,5,1,0,0,0
8046,3,67,9,6,1,1,0,0
8046,61,67,9,7,1,0,0,0
8046,9,67,9,8,1,0,0,0
8046,95,67,9,9,0,,0,0
13527,27,67,5,5,0,,0,1
15735,27,67,9,5,1,0,1,2
15735,3,67,9,6,1,1,1,2
15735,61,67,9,7,1,0,1,2
15735,9,67,9,8,1,1,1,2
15735,95,67,9,9,0,,1,2
11087,27,67,15,5,1,1,1,0
11087,3,67,15,6,1,0,1,0
11087,61,67,15,7,1,0,1,0
11087,9,67,15,8,1,0,1,0
11087,95,67,15,9,1,0,1,0
11087,57,67,15,10,0,,1,0
11087,68,67,15,11,1,0,1,0
11087,63,67,15,12,0,,1,0
11087,47,67,15,13,0,,1,0
11087,84,67,15,14,0,,1,0
11087,90,67,15,15,0,,1,0
2245,27,67,10,5,1,1,1,0
2245,3,67,10,6,1,1,1,0
2245,61,67,10,7,1,1,1,0
2245,9,67,10,8,1,0,1,0
2245,95,67,10,9,1,1,1,0
2245,57,67,10,10,1,0,1,0
16824,27,67,10,5,1,0,1,1
16824,3,67,10,6,1,1,1,1
16824,61,67,10,7,1,1,1,1
16824,9,67,10,8,1,0,1,1
16824,95,67,10,9,1,0,1,1
16824,57,67,10,10,1,0,1,1
4722,27,67,11,5,1,0,0,0
4722,3,67,11,6,1,0,0,0
4722,61,67,11,7,1,1,0,0
4722,9,67,11,8,1,0,0,0
4722,95,67,11,9,0,,0,0
4722,57,67,11,10,0,,0,0
4722,68,67,11,11,1,0,0,0
9816,3,68,11,5,1,1,1,1
9816,61,68,11,6,1,1,1,1
9816,9,68,11,7,1,0,1,1
9816,95,68,11,8,1,1,1,1
9816,57,68,11,9,1,1,1,1
9816,68,68,11,10,1,0,1,1
9816,63,68,11,11,0,,1,1
7200,3,68,8,5,1,0,0,1
7200,61,68,8,6,1,1,0,1
7200,9,68,8,7,1,0,0,1
7200,95,68,8,8,1,1,0,1
4844,3,68,5,5,1,0,1,1
8241,3,68,11,5,1,1,0,1
8241,61,68,11,6,1,1,0,1
8241,9,68,11,7,1,1,0,1
8241,95,68,11,8,0,,0,1
8241,57,68,11,9,1,1,0,1
8241,68,68,11,10,1,1,0,1
8241,63,68,11,11,0,,0,1
11270,3,68,8,5,1,1,1,1
11270,61,68,8,6,1,1,1,1
11270,9,68,8,7,1,0,1,1
11270,95,68,8,8,0,,1,1
15334,3,68,7,5,1,0,1,1
15334,61,68,7,6,1,0,1,1
15334,9,68,7,7,1,1,1,1
14369,3,68,8,5,1,0,1,1
14369,61,68,8,6,1,1,1,1
14369,9,68,8,7,1,1,1,1
14369,95,68,8,8,0,,1,1
877,3,68,11,5,1,1,1,2
877,61,68,11,6,1,0,1,2
877,9,68,11,7,1,0,1,2
877,95,68,11,8,1,1,1,2
877,57,68,11,9,1,1,1,2
877,68,68,11,10,1,0,1,2
877,63,68,11,11,1,0,1,2
6669,3,68,5,5,1,0,0,1
2782,3,68,7,5,0,,0,0
2782,61,68,7,6,0,,0,0
2782,9,68,7,7,0,,0,0
18446,3,68,11,5,1,1,1,0
18446,61,68,11,6,1,1,1,0
18446,9,68,11,7,1,1,1,0
18446,95,68,11,8,1,1,1,0
18446,57,68,11,9,1,0,1,0
18446,68,68,11,10,0,,1,0
18446,63,68,11,11,1,0,1,0
2615,3,68,10,5,1,1,1,2
2615,61,68,10,6,1,1,1,2
2615,9,68,10,7,1,0,1,2
2615,95,68,10,8,1,1,1,2
2615,57,68,10,9,1,1,1,2
2615,68,68,10,10,1,0,1,2
8321,3,68,5,5,0,,0,0
5872,3,68,11,5,1,0,1,1
5872,61,68,11,6,1,1,1,1
5872,9,68,11,7,1,0,1,1
5872,95,68,11,8,1,1,1,1
5872,57,68,11,9,1,0,1,1
5872,68,68,11,10,1,0,1,1
5872,63,68,11,11,1,0,1,1
17283,3,68,7,5,1,1,1,1
17283,61,68,7,6,1,0,1,1
17283,9,68,7,7,1,0,1,1
2767,3,68,8,5,1,1,0,1
2767,61,68,8,6,1,1,0,1
2767,9,68,8,7,1,0,0,1
2767,95,68,8,8,0,,0,1
19828,3,68,7,5,1,1,0,0
19828,61,68,7,6,1,0,0,0
19828,9,68,7,7,1,0,0,0
6998,3,68,11,5,1,1,1,1
6998,61,68,11,6,1,1,1,1
6998,9,68,11,7,1,0,1,1
6998,95,68,11,8,1,1,1,1
6998,57,68,11,9,1,1,1,1
6998,68,68,11,10,1,0,1,1
6998,63,68,11,11,0,,1,1
15652,3,68,7,5,1,0,1,2
15652,61,68,7,6,1,1,1,2
15652,9,68,7,7,1,0,1,2
1489,61,6,7,5,1,0,1,1
1489,9,6,7,6,0,,1,1
1489,95,6,7,7,0,,1,1
2925,61,6,9,5,1,0,0,2
2925,9,6,9,6,1,0,0,2
2925,95,6,9,7,1,1,0,2
2925,57,6,9,8,1,1,0,2
2925,68,6,9,9,1,0,0,2
2215,61,6,13,5,1,1,0,2
2215,9,6,13,6,1,0,0,2
2215,95,6,13,7,1,0,0,2
2215,57,6,13,8,1,0,0,2
2215,68,6,13,9,1,1,0,2
2215,63,6,13,10,1,0,0,2
2215,47,6,13,11,1,1,0,2
2215,84,6,13,12,1,0,0,2
2215,90,6,13,13,1,0,0,2
18789,61,6,13,5,0,,0,0
18789,9,6,13,6,0,,0,0
18789,95,6,13,7,0,,0,0
18789,57,6,13,8,0,,0,0
18789,68,6,13,9,0,,0,0
18789,63,6,13,10,0,,0,0
18789,47,6,13,11,0,,0,0
18789,84,6,13,12,0,,0,0
18789,90,6,13,13,0,,0,0
11256,61,6,10,5,1,0,0,1
11256,9,6,10,6,1,0,0,1
11256,95,6,10,7,1,0,0,1
11256,57,6,10,8,1,0,0,1
11256,68,6,10,9,0,,0,1
11256,63,6,10,10,1,0,0,1
2605,61,6,13,5,0,,0,0
2605,9,6,13,6,0,,0,0
2605,95,6,13,7,0,,0,0
2605,57,6,13,8,0,,0,0
2605,68,6,13,9,0,,0,0
2605,63,6,13,10,0,,0,0
2605,47,6,13,11,0,,0,0
2605,84,6,13,12,0,,0,0
2605,90,6,13,13,0,,0,0
12614,61,6,10,5,1,0,0,1
12614,9,6,10,6,0,,0,1
12614,95,6,10,7,1,1,0,1
12614,57,6,10,8,1,0,0,1
12614,68,6,10,9,1,0,0,1
12614,63,6,10,10,1,0,0,1
3434,61,6,10,5,0,,0,0
3434,9,6,10,6,0,,0,0
3434,95,6,10,7,0,,0,0
3434,57,6,10,8,0,,0,0
3434,68,6,10,9,0,,0,0
3434,63,6,10,10,0,,0,0
19020,61,6,10,5,1,1,0,2
19020,9,6,10,6,1,0,0,2
19020,95,6,10,7,1,1,0,2
19020,57,6,10,8,1,0,0,2
19020,68,6,10,9,1,0,0,2
19020,63,6,10,10,1,0,0,2
6915,61,6,10,5,1,0,0,1
6915,9,6,10,6,1,0,0,1
6915,95,6,10,7,1,1,0,1
6915,57,6,10,8,1,0,0,1
6915,68,6,10,9,1,0,0,1
6915,63,6,10,10,1,0,0,1
19563,61,6,10,5,1,1,0,2
19563,9,6,10,6,1,0,0,2
19563,95,6,10,7,1,1,0,2
19563,57,6,10,8,1,1,0,2
19563,68,6,10,9,1,0,0,2
19563,63,6,10,10,1,0,0,2
9289,9,19,5,5,0,,1,1
11170,9,19,9,5,0,,1,1
11170,95,19,9,6,1,1,1,1
11170,57,19,9,7,1,0,1,1
11170,68,19,9,8,0,,1,1
11170,63,19,9,9,0,,1,1
14228,9,19,9,5,1,0,1,2
14228,95,19,9,6,1,1,1,2
14228,57,19,9,7,1,1,1,2
14228,68,19,9,8,1,1,1,2
14228,63,19,9,9,1,0,1,2
3867,9,19,9,5,0,,1,2
3867,95,19,9,6,1,0,1,2
3867,57,19,9,7,1,1,1,2
3867,68,19,9,8,1,1,1,2
3867,63,19,9,9,1,0,1,2
12063,9,19,10,5,0,,0,0
12063,95,19,10,6,0,,0,0
12063,57,19,10,7,0,,0,0
12063,68,19,10,8,0,,0,0
12063,63,19,10,9,0,,0,0
12063,47,19,10,10,0,,0,0
2768,9,19,9,5,1,0,1,1
2768,95,19,9,6,1,1,1,1
2768,57,19,9,7,1,0,1,1
2768,68,19,9,8,1,0,1,1
2768,63,19,9,9,1,0,1,1
11655,9,19,6,5,1,0,1,1
11655,95,19,6,6,0,,1,1
18874,9,19,9,5,1,0,1,3
18874,95,19,9,6,1,1,1,3
18874,57,19,9,7,1,1,1,3
18874,68,19,9,8,1,0,1,3
18874,63,19,9,9,1,0,1,3
1952,9,19,9,5,1,1,1,3
1952,95,19,9,6,0,,1,3
1952,57,19,9,7,1,1,1,3
1952,68,19,9,8,1,1,1,3
1952,63,19,9,9,1,0,1,3
12541,9,19,9,5,1,0,1,1
12541,95,19,9,6,1,1,1,1
12541,57,19,9,7,1,1,1,1
12541,68,19,9,8,1,0,1,1
12541,63,19,9,9,0,,1,1
17325,9,19,9,5,1,1,0,1
