FemaleID,ObsYear,FemaleCohort,AgeLastObs,Age,OffspringBirthWt,OffspringSex,OffspringCaptureAge,OffspringTwinStatus,BredYearling,EarlyLifeRec
2832,38,49,8,5,2.099999905,2,2,2,0,2
2832,38,49,8,5,1.799999952,1,2,2,0,2
17731,18,75,9,5,2.599999905,2,1,1,1,2
9968,18,75,10,5,2.700000048,1,2,1,1,1
13502,18,75,10,5,2.400000095,2,2,2,1,0
13502,18,75,10,5,2.200000048,2,2,2,1,0
1654,18,75,9,5,2.799999952,1,3,1,0,0
101,18,75,12,5,3.299999952,1,3,1,1,1
2832,18,49,8,6,2.200000048,2,1,1,0,2
1341,18,75,15,5,3.700000048,2,3,1,1,0
3453,89,93,11,5,2.900000095,2,3,1,1,1
6386,89,93,7,5,2.700000048,2,2,1,1,1
10018,89,93,8,5,2.299999952,2,1,1,0,1
13502,89,75,10,6,1.700000048,2,2,2,1,0
3875,89,49,10,7,1.899999976,2,2,1,0,1
16841,89,93,7,5,2,1,2,1,0,0
5140,89,93,8,5,3,1,2,1,0,1
17731,89,75,9,6,2.5,1,2,1,1,2
9968,89,75,10,6,2.900000095,2,2,1,1,1
101,89,75,12,6,2.900000095,2,1,1,1,1
3598,89,93,11,5,2.900000095,2,2,1,1,1
18306,89,93,8,5,2.099999905,1,2,1,1,1
1341,89,75,15,6,2.799999952,1,2,1,1,0
14641,89,93,11,5,3.200000048,2,3,1,1,1
15384,89,49,9,7,2.200000048,1,3,1,0,1
14014,89,93,7,5,2.900000095,2,2,1,1,1
6678,89,93,11,5,2.900000095,1,2,1,1,0
16743,89,93,10,5,1.700000048,2,3,2,1,2
13502,89,75,10,6,1.899999976,1,2,2,1,0
1654,89,75,9,6,2.700000048,1,2,1,0,0
16743,89,93,10,5,1.600000024,2,3,2,1,2
14609,89,93,8,5,1.700000048,1,3,2,1,1
19210,89,93,5,5,1.899999976,2,2,1,0,1
17000,89,75,11,6,1.799999952,2,0,1,0,0
17317,89,75,6,6,1.399999976,2,1,1,1,1
9065,89,93,5,5,1.5,1,0,2,1,1
9065,89,93,5,5,1.600000024,2,0,2,1,1
7337,89,93,7,5,1.600000024,2,1,1,1,2
3453,63,93,11,6,2.200000048,2,2,2,1,1
3453,63,93,11,6,2.200000048,2,2,2,1,1
15107,63,66,13,5,2.900000095,1,2,1,0,2
14641,63,93,11,6,3.400000095,1,2,1,1,1
17731,63,75,9,7,3.099999905,1,2,1,1,2
3875,63,49,10,8,1.5,1,3,2,0,1
3875,63,49,10,8,1.700000048,2,3,2,0,1
13502,63,75,10,7,3.299999952,1,3,1,1,0
18306,63,93,8,6,2.099999905,1,3,2,1,1
18306,63,93,8,6,2.200000048,1,3,2,1,1
7337,63,93,7,6,2.299999952,2,3,2,1,2
7337,63,93,7,6,2.700000048,2,3,2,1,2
