ring,year,age,AFR,lifespan,laying_date,clutch_size,brood_size_hatching,brood_size_fledging,sex,LO,colony
Frontiers_000206,2007,4,2,5,16.0,1.0,0.0,,F,0,SK
Frontiers_000206,2005,2,2,5,40.0,2.0,0.0,0.0,F,0,SK
Frontiers_000206,2008,5,2,5,20.0,3.0,0.0,0.0,F,1,SK
Frontiers_000206,2006,3,2,5,26.0,3.0,2.0,,F,0,SK
Frontiers_000380,2005,2,2,2,52.0,2.0,0.0,0.0,M,1,BT
Frontiers_000508,2007,4,3,16,11.0,3.0,0.0,0.0,M,0,BT
Frontiers_000508,2013,10,3,16,19.0,3.0,2.0,2.0,M,0,BT
Frontiers_000508,2019,16,3,16,26.0,3.0,3.0,3.0,M,1,BT
Frontiers_000508,2018,15,3,16,9.0,3.0,2.0,2.0,M,0,BT
Frontiers_000508,2011,8,3,16,2.0,3.0,2.0,2.0,M,0,BT
Frontiers_000508,2012,9,3,16,17.0,2.0,1.0,1.0,M,0,BT
Frontiers_000508,2014,11,3,16,14.0,3.0,3.0,3.0,M,0,BT
Frontiers_000508,2009,6,3,16,12.0,4.0,0.0,0.0,M,0,BT
Frontiers_000508,2017,14,3,16,22.0,3.0,0.0,0.0,M,0,BT
Frontiers_000508,2008,5,3,16,22.0,3.0,3.0,3.0,M,0,BT
Frontiers_000508,2010,7,3,16,15.0,3.0,2.0,2.0,M,0,BT
Frontiers_000508,2006,3,3,16,26.0,3.0,2.0,2.0,M,0,BT
Frontiers_000275,2008,5,2,5,34.0,2.0,0.0,0.0,F,1,BT
Frontiers_000275,2005,2,2,5,51.0,2.0,0.0,0.0,F,0,BT
Frontiers_000275,2006,3,2,5,44.0,2.0,0.0,0.0,F,0,BT
Frontiers_000224,2007,4,3,5,8.0,3.0,3.0,1.0,M,0,BT
Frontiers_000224,2008,5,3,5,16.0,3.0,3.0,2.0,M,1,BT
Frontiers_000224,2006,3,3,5,24.0,3.0,3.0,3.0,M,0,BT
Frontiers_000350,2015,12,3,13,18.0,3.0,2.0,2.0,F,0,BT
Frontiers_000350,2013,10,3,13,19.0,3.0,3.0,2.0,F,0,BT
Frontiers_000350,2010,7,3,13,24.0,3.0,3.0,2.0,F,0,BT
Frontiers_000350,2012,9,3,13,26.0,3.0,3.0,0.0,F,0,BT
Frontiers_000350,2009,6,3,13,11.0,3.0,3.0,3.0,F,0,BT
Frontiers_000350,2007,4,3,13,8.0,3.0,3.0,1.0,F,0,BT
Frontiers_000350,2008,5,3,13,16.0,3.0,3.0,2.0,F,0,BT
Frontiers_000350,2016,13,3,13,26.0,3.0,2.0,2.0,F,1,BT
Frontiers_000350,2014,11,3,13,14.0,3.0,3.0,3.0,F,0,BT
Frontiers_000350,2006,3,3,13,24.0,3.0,3.0,3.0,F,0,BT
Frontiers_000350,2011,8,3,13,1.0,3.0,3.0,3.0,F,0,BT
Frontiers_000357,2005,2,2,3,52.0,2.0,0.0,0.0,F,0,BT
Frontiers_000357,2006,3,2,3,24.0,2.0,2.0,2.0,F,1,BT
Frontiers_000039,2006,3,3,3,32.0,3.0,2.0,2.0,F,1,BT
Frontiers_000511,2005,2,2,13,47.0,3.0,0.0,0.0,M,0,BT
Frontiers_000511,2009,6,2,13,13.0,3.0,2.0,2.0,M,0,BT
Frontiers_000511,2012,9,2,13,28.0,1.0,0.0,0.0,M,0,BT
Frontiers_000511,2008,5,2,13,20.0,3.0,3.0,3.0,M,0,BT
Frontiers_000511,2015,12,2,13,18.0,3.0,3.0,3.0,M,0,BT
Frontiers_000511,2014,11,2,13,25.0,3.0,1.0,0.0,M,0,BT
Frontiers_000511,2013,10,2,13,44.0,2.0,2.0,2.0,M,0,BT
Frontiers_000511,2016,13,2,13,18.0,3.0,3.0,3.0,M,1,BT
Frontiers_000511,2007,4,2,13,16.0,3.0,3.0,0.0,M,0,BT
Frontiers_000511,2006,3,2,13,26.0,3.0,3.0,3.0,M,0,BT
Frontiers_000511,2011,8,2,13,4.0,3.0,3.0,3.0,M,0,BT
Frontiers_000190,2007,4,3,4,13.0,3.0,3.0,0.0,F,1,BT
Frontiers_000190,2006,3,3,4,28.0,3.0,3.0,3.0,F,0,BT
Frontiers_000117,2009,6,2,9,49.0,2.0,2.0,0.0,M,0,BT
Frontiers_000117,2008,5,2,9,22.0,3.0,3.0,3.0,M,0,BT
Frontiers_000117,2005,2,2,9,32.0,3.0,3.0,1.0,M,0,BT
Frontiers_000117,2012,9,2,9,15.0,3.0,3.0,0.0,M,1,BT
Frontiers_000117,2011,8,2,9,4.0,3.0,3.0,3.0,M,0,BT
Frontiers_000117,2010,7,2,9,28.0,2.0,2.0,2.0,M,0,BT
Frontiers_000117,2007,4,2,9,15.0,3.0,3.0,2.0,M,0,BT
Frontiers_000117,2006,3,2,9,24.0,3.0,3.0,2.0,M,0,BT
Frontiers_000098,2008,5,3,5,20.0,3.0,3.0,3.0,M,1,BT
Frontiers_000098,2006,3,3,5,30.0,2.0,3.0,3.0,M,0,BT
Frontiers_000242,2008,5,4,5,20.0,3.0,3.0,3.0,M,1,BT
Frontiers_000242,2007,4,4,5,27.0,3.0,0.0,0.0,M,0,BT
Frontiers_000452,2002,4,4,7,,,,2.0,M,0,SK
Frontiers_000452,2005,7,4,7,28.0,3.0,3.0,3.0,M,1,SK
Frontiers_000452,2004,6,4,7,32.0,2.0,,1.0,M,0,SK
Frontiers_000452,2003,5,4,7,12.0,3.0,3.0,3.0,M,0,SK
Frontiers_000145,2001,3,3,5,28.0,3.0,3.0,3.0,M,0,SK
Frontiers_000145,2003,5,3,5,39.0,2.0,0.0,0.0,M,1,SK
Frontiers_000145,2002,4,3,5,21.0,3.0,1.0,1.0,M,0,SK
Frontiers_000543,2001,3,3,3,20.0,3.0,3.0,3.0,F,1,SK
Frontiers_000199,2003,4,3,7,36.0,1.0,1.0,1.0,F,0,SK
Frontiers_000199,2002,3,3,7,38.0,2.0,2.0,1.0,F,0,SK
Frontiers_000199,2006,7,3,7,24.0,3.0,3.0,3.0,F,1,SK
Frontiers_000199,2005,6,3,7,28.0,2.0,2.0,2.0,F,0,SK
Frontiers_000199,2004,5,3,7,26.0,3.0,2.0,2.0,F,0,SK
Frontiers_000119,2008,9,3,9,20.0,3.0,3.0,3.0,M,1,SK
Frontiers_000119,2003,4,3,9,17.0,2.0,0.0,0.0,M,0,SK
Frontiers_000119,2005,6,3,9,32.0,3.0,2.0,2.0,M,0,SK
Frontiers_000119,2002,3,3,9,42.0,3.0,1.0,1.0,M,0,SK
Frontiers_000119,2004,5,3,9,26.0,3.0,2.0,,M,0,SK
Frontiers_000094,2002,3,3,4,21.0,3.0,1.0,1.0,F,0,SK
