id,year,sex,mdate,age_days,first_capture,mean_age,mean_age_sq,mean_first_capture,wing_length,body_mass,log_body_mass,thorax_width
2014101,2014,m,2014-04-18,0,1,3.0,18.0,12.900709219858156,31.0,,,1.9249999999999998
2014101,2014,m,2014-04-24,6,1,3.0,18.0,12.900709219858156,31.0,0.135,-2.0024805005437076,
2014102,2014,m,2014-04-18,0,1,3.0,18.0,12.900709219858156,30.0,,,1.9
2014102,2014,m,2014-04-24,6,1,3.0,18.0,12.900709219858156,30.0,0.17,-1.7719568419318752,
2014103,2014,m,2014-04-19,0,2,2.5,12.5,12.900709219858156,32.0,,,1.875
2014103,2014,m,2014-04-24,5,2,2.5,12.5,12.900709219858156,32.0,0.168,-1.783791299578878,
2014104,2014,,2014-04-20,0,3,0.0,0.0,12.900709219858156,31.0,,,1.875
2014105,2014,m,2014-04-20,0,3,2.0,8.0,12.900709219858156,29.5,,,1.875
2014105,2014,m,2014-04-24,4,3,2.0,8.0,12.900709219858156,29.5,0.147,-1.9173226922034008,
2014106,2014,,2014-04-20,0,3,0.0,0.0,12.900709219858156,32.0,,,1.9
2014107,2014,m,2014-04-21,0,4,3.0,15.0,12.900709219858156,30.0,,,1.7
2014107,2014,m,2014-04-24,3,4,3.0,15.0,12.900709219858156,30.0,0.175,-1.742969305058623,
2014107,2014,m,2014-04-27,6,4,3.0,15.0,12.900709219858156,30.0,0.179,-1.720369473141382,
2014108,2014,m,2014-04-21,0,4,5.25,47.25,12.900709219858156,31.0,,,2.075
2014108,2014,m,2014-04-24,3,4,5.25,47.25,12.900709219858156,31.0,0.181,-1.7092582477163114,
2014108,2014,m,2014-04-27,6,4,5.25,47.25,12.900709219858156,31.0,0.172,-1.760260802168684,
2014108,2014,m,2014-05-03,12,4,5.25,47.25,12.900709219858156,31.0,0.142,-1.9519282213808764,
2014109,2014,m,2014-04-21,0,4,5.0,33.0,12.900709219858156,34.0,,,2.15
2014109,2014,m,2014-04-24,3,4,5.0,33.0,12.900709219858156,34.0,0.208,-1.5702171992808192,
2014109,2014,m,2014-04-27,6,4,5.0,33.0,12.900709219858156,34.0,0.202,-1.5994875815809322,1.75
2014109,2014,m,2014-04-27,6,4,5.0,33.0,12.900709219858156,34.0,0.168,-1.783791299578878,1.75
2014109,2014,m,2014-04-27,6,4,5.0,33.0,12.900709219858156,34.0,0.167,-1.7897614665653818,1.75
2014109,2014,m,2014-04-30,9,4,5.0,33.0,12.900709219858156,34.0,0.163,-1.8140050781753747,
2014110,2014,m,2014-04-23,0,6,3.0,16.5,12.900709219858156,31.0,,,2.075
2014110,2014,m,2014-04-24,1,6,3.0,16.5,12.900709219858156,31.0,0.191,-1.6554818509355071,
2014110,2014,m,2014-04-27,4,6,3.0,16.5,12.900709219858156,31.0,0.179,-1.720369473141382,
2014110,2014,m,2014-04-30,7,6,3.0,16.5,12.900709219858156,31.0,0.158,-1.8451602459551701,
2014111,2014,,2014-04-23,0,6,0.0,0.0,12.900709219858156,34.0,,,1.975
2014112,2014,m,2014-04-23,0,6,5.0,46.333333333333336,12.900709219858156,31.0,,,2.0
2014112,2014,m,2014-04-24,1,6,5.0,46.333333333333336,12.900709219858156,31.0,0.181,-1.7092582477163114,
2014112,2014,m,2014-04-27,4,6,5.0,46.333333333333336,12.900709219858156,31.0,0.167,-1.7897614665653818,1.9
2014112,2014,m,2014-04-27,4,6,5.0,46.333333333333336,12.900709219858156,31.0,0.162,-1.820158943749753,1.9
2014112,2014,m,2014-04-30,7,6,5.0,46.333333333333336,12.900709219858156,31.0,0.148,-1.9105430052180221,
2014112,2014,m,2014-05-07,14,6,5.0,46.333333333333336,12.900709219858156,31.0,0.146,-1.9241486572738007,
2014113,2014,,2014-04-23,0,6,0.0,0.0,12.900709219858156,31.0,,,1.85
2014114,2014,,2014-04-23,0,6,0.0,0.0,12.900709219858156,32.0,,,1.725
2014115,2014,m,2014-04-23,0,6,3.6666666666666665,33.666666666666664,12.900709219858156,30.5,,,1.9249999999999998
2014115,2014,m,2014-04-24,1,6,3.6666666666666665,33.666666666666664,12.900709219858156,30.5,0.21,-1.5606477482646683,
2014115,2014,m,2014-05-03,10,6,3.6666666666666665,33.666666666666664,12.900709219858156,30.5,0.167,-1.7897614665653818,
2014116,2014,m,2014-04-23,0,6,0.5,0.5,12.900709219858156,32.0,,,1.9
2014116,2014,m,2014-04-24,1,6,0.5,0.5,12.900709219858156,32.0,0.203,-1.5945492999403497,
2014117,2014,m,2014-04-23,0,6,0.5,0.5,12.900709219858156,31.0,,,1.75
2014117,2014,m,2014-04-24,1,6,0.5,0.5,12.900709219858156,31.0,0.191,-1.6554818509355071,
2014118,2014,f,2014-04-23,0,6,2.6666666666666665,16.666666666666668,12.900709219858156,31.0,,,1.9
2014118,2014,f,2014-04-24,1,6,2.6666666666666665,16.666666666666668,12.900709219858156,31.0,0.221,-1.5095925774643841,
2014118,2014,f,2014-04-30,7,6,2.6666666666666665,16.666666666666668,12.900709219858156,31.0,0.166,-1.7957674906255938,
2014119,2014,m,2014-04-23,0,6,7.75,125.25,12.900709219858156,33.0,,,2.0
2014119,2014,m,2014-04-24,1,6,7.75,125.25,12.900709219858156,33.0,0.191,-1.6554818509355071,
2014119,2014,m,2014-05-03,10,6,7.75,125.25,12.900709219858156,33.0,0.16,-1.8325814637483102,
2014119,2014,m,2014-05-13,20,6,7.75,125.25,12.900709219858156,33.0,0.143,-1.9449106487222299,
2014120,2014,f,2014-04-23,0,6,6.25,74.25,12.900709219858156,32.0,,,2.05
2014120,2014,f,2014-04-24,1,6,6.25,74.25,12.900709219858156,32.0,0.228,-1.4784096500276962,
2014120,2014,f,2014-05-03,10,6,6.25,74.25,12.900709219858156,32.0,0.184,-1.6928195213731514,
2014120,2014,f,2014-05-07,14,6,6.25,74.25,12.900709219858156,32.0,0.158,-1.8451602459551701,
2014121,2014,,2014-04-23,0,6,0.0,0.0,12.900709219858156,29.0,,,1.725
2014122,2014,m,2014-04-23,0,6,0.5,0.5,12.900709219858156,32.5,,,2.1
2014122,2014,m,2014-04-24,1,6,0.5,0.5,12.900709219858156,32.5,0.228,-1.4784096500276962,
2014123,2014,m,2014-04-24,0,7,3.75,20.25,12.900709219858156,31.0,0.21,-1.5606477482646683,2.2
2014123,2014,m,2014-04-27,3,7,3.75,20.25,12.900709219858156,31.0,,,1.9
2014123,2014,m,2014-04-30,6,7,3.75,20.25,12.900709219858156,31.0,0.141,-1.9589953886039688,
2014123,2014,m,2014-04-30,6,7,3.75,20.25,12.900709219858156,31.0,0.145,-1.9310215365615626,
2014124,2014,m,2014-04-24,0,7,4.333333333333333,28.333333333333332,12.900709219858156,31.0,0.178,-1.725971728690052,
2014124,2014,m,2014-04-30,6,7,4.333333333333333,28.333333333333332,12.900709219858156,31.0,0.13,-2.0402208285265546,1.725
2014124,2014,m,2014-05-01,7,7,4.333333333333333,28.333333333333332,12.900709219858156,31.0,,,1.5
2014125,2014,m,2014-04-24,0,7,1.5,4.5,12.900709219858156,31.0,0.259,-1.3509272172825992,
2014125,2014,m,2014-04-27,3,7,1.5,4.5,12.900709219858156,31.0,0.178,-1.725971728690052,1.8
2014126,2014,,2014-04-24,0,7,0.0,0.0,12.900709219858156,30.5,,,1.875
2014127,2014,m,2014-04-24,0,7,1.5,4.5,12.900709219858156,33.0,0.251,-1.3823023398503531,2.025
2014127,2014,m,2014-04-27,3,7,1.5,4.5,12.900709219858156,33.0,0.197,-1.6245515502441485,1.725
2014128,2014,m,2014-04-24,0,7,5.0,39.0,12.900709219858156,32.0,0.25,-1.3862943611198906,
2014128,2014,m,2014-04-30,6,7,5.0,39.0,12.900709219858156,32.0,0.143,-1.9449106487222299,1.85
2014128,2014,m,2014-05-03,9,7,5.0,39.0,12.900709219858156,32.0,0.151,-1.8904754421672127,
2014129,2014,m,2014-04-24,0,7,7.833333333333333,91.83333333333333,12.900709219858156,32.0,0.224,-1.4961092271270973,2.2
2014129,2014,m,2014-04-27,3,7,7.833333333333333,91.83333333333333,12.900709219858156,32.0,0.15,-1.8971199848858813,1.975
2014129,2014,m,2014-04-30,6,7,7.833333333333333,91.83333333333333,12.900709219858156,32.0,0.137,-1.987774353154012,
2014129,2014,m,2014-05-03,9,7,7.833333333333333,91.83333333333333,12.900709219858156,32.0,0.145,-1.9310215365615626,
2014129,2014,m,2014-05-07,13,7,7.833333333333333,91.83333333333333,12.900709219858156,32.0,0.134,-2.0099154790312257,
2014129,2014,m,2014-05-10,16,7,7.833333333333333,91.83333333333333,12.900709219858156,32.0,0.1,-2.3025850929940455,1.55
2014130,2014,m,2014-04-24,0,7,6.333333333333333,57.333333333333336,12.900709219858156,30.0,0.189,-1.6660082639224947,2.025
2014130,2014,m,2014-04-27,3,7,6.333333333333333,57.333333333333336,12.900709219858156,30.0,0.179,-1.720369473141382,
2014130,2014,m,2014-04-30,6,7,6.333333333333333,57.333333333333336,12.900709219858156,30.0,0.13,-2.0402208285265546,
2014130,2014,m,2014-05-01,7,7,6.333333333333333,57.333333333333336,12.900709219858156,30.0,0.123,-2.0955709236097197,1.625
2014130,2014,m,2014-05-03,9,7,6.333333333333333,57.333333333333336,12.900709219858156,30.0,0.134,-2.0099154790312257,
2014130,2014,m,2014-05-07,13,7,6.333333333333333,57.333333333333336,12.900709219858156,30.0,0.112,-2.1892564076870427,
2014131,2014,m,2014-04-24,0,7,0.0,0.0,12.900709219858156,29.0,0.184,-1.6928195213731514,1.8
2014132,2014,m,2014-04-24,0,7,3.0,15.0,12.900709219858156,32.0,0.257,-1.3586791940869172,1.95
2014132,2014,m,2014-04-27,3,7,3.0,15.0,12.900709219858156,32.0,0.194,-1.6398971199188088,
2014132,2014,m,2014-04-30,6,7,3.0,15.0,12.900709219858156,32.0,0.168,-1.783791299578878,
2014133,2014,m,2014-04-24,0,7,4.0,24.0,12.900709219858156,31.0,0.195,-1.6347557204183902,1.8
2014133,2014,m,2014-04-30,6,7,4.0,24.0,12.900709219858156,31.0,0.149,-1.903808973036678,
2014133,2014,m,2014-04-30,6,7,4.0,24.0,12.900709219858156,31.0,0.144,-1.9379419794061366,
2014134,2014,f,2014-04-24,0,7,1.5,4.5,12.900709219858156,32.0,0.327,-1.1177951080848836,2.25
2014134,2014,f,2014-04-27,3,7,1.5,4.5,12.900709219858156,32.0,0.297,-1.2140231401794375,
2014135,2014,m,2014-04-24,0,7,0.0,0.0,12.900709219858156,32.0,0.194,-1.6398971199188088,2.2
2014136,2014,m,2014-04-24,0,7,5.5,53.5,12.900709219858156,31.5,0.246,-1.4024237430497744,2.0
2014136,2014,m,2014-04-27,3,7,5.5,53.5,12.900709219858156,31.5,0.198,-1.6194882482876019,
2014136,2014,m,2014-04-30,6,7,5.5,53.5,12.900709219858156,31.5,0.156,-1.8578992717326,
2014136,2014,m,2014-05-07,13,7,5.5,53.5,12.900709219858156,31.5,0.141,-1.9589953886039688,
2014137,2014,f,2014-04-24,0,7,5.25,42.75,12.900709219858156,31.0,0.239,-1.4312917270506265,2.075
2014137,2014,f,2014-04-27,3,7,5.25,42.75,12.900709219858156,31.0,0.173,-1.7544636844843582,1.9
2014137,2014,f,2014-05-03,9,7,5.25,42.75,12.900709219858156,31.0,0.176,-1.7372712839439852,
2014137,2014,f,2014-05-03,9,7,5.25,42.75,12.900709219858156,31.0,0.178,-1.725971728690052,
2014138,2014,m,2014-04-24,0,7,1.5,4.5,12.900709219858156,29.0,0.182,-1.7037485919053417,1.775
2014138,2014,m,2014-04-27,3,7,1.5,4.5,12.900709219858156,29.0,0.171,-1.7660917224794772,
2014139,2014,m,2014-04-26,0,9,4.6,37.4,12.900709219858156,31.0,,,1.8
2014139,2014,m,2014-04-27,1,9,4.6,37.4,12.900709219858156,31.0,0.172,-1.760260802168684,
2014139,2014,m,2014-04-30,4,9,4.6,37.4,12.900709219858156,31.0,0.137,-1.987774353154012,
2014139,2014,m,2014-05-03,7,9,4.6,37.4,12.900709219858156,31.0,0.131,-2.0325579557809856,
2014139,2014,m,2014-05-07,11,9,4.6,37.4,12.900709219858156,31.0,0.126,-2.071473372030659,
2014140,2014,m,2014-04-26,0,9,3.0,16.5,12.900709219858156,31.0,,,1.95
2014140,2014,m,2014-04-27,1,9,3.0,16.5,12.900709219858156,31.0,0.133,-2.017406150760383,1.9
2014140,2014,m,2014-04-30,4,9,3.0,16.5,12.900709219858156,31.0,0.135,-2.0024805005437076,
2014140,2014,m,2014-05-03,7,9,3.0,16.5,12.900709219858156,31.0,0.132,-2.0249533563957662,
2014141,2014,m,2014-04-26,0,9,4.0,31.333333333333332,12.900709219858156,31.0,,,1.875
2014141,2014,m,2014-04-27,1,9,4.0,31.333333333333332,12.900709219858156,31.0,0.179,-1.720369473141382,
2014141,2014,m,2014-04-27,1,9,4.0,31.333333333333332,12.900709219858156,31.0,0.174,-1.7486999797676082,
2014141,2014,m,2014-04-30,4,9,4.0,31.333333333333332,12.900709219858156,31.0,0.138,-1.9805015938249322,
2014141,2014,m,2014-05-03,7,9,4.0,31.333333333333332,12.900709219858156,31.0,0.139,-1.973281345851445,
2014141,2014,m,2014-05-07,11,9,4.0,31.333333333333332,12.900709219858156,31.0,0.134,-2.0099154790312257,
2014142,2014,m,2014-04-26,0,9,0.5,0.5,12.900709219858156,32.0,,,2.125
2014142,2014,m,2014-04-27,1,9,0.5,0.5,12.900709219858156,32.0,0.225,-1.491654876777717,
2014143,2014,m,2014-04-26,0,9,0.5,0.5,12.900709219858156,31.0,,,1.85
2014143,2014,m,2014-04-27,1,9,0.5,0.5,12.900709219858156,31.0,0.166,-1.7957674906255938,
2014144,2014,m,2014-04-26,0,9,6.714285714285714,75.0,12.900709219858156,31.0,,,1.9249999999999998
2014144,2014,m,2014-04-27,1,9,6.714285714285714,75.0,12.900709219858156,31.0,0.183,-1.6982691261407161,
2014144,2014,m,2014-04-30,4,9,6.714285714285714,75.0,12.900709219858156,31.0,0.148,-1.9105430052180221,
2014144,2014,m,2014-05-03,7,9,6.714285714285714,75.0,12.900709219858156,31.0,0.152,-1.8838747581358606,
2014144,2014,m,2014-05-03,7,9,6.714285714285714,75.0,12.900709219858156,31.0,0.15,-1.8971199848858813,
2014144,2014,m,2014-05-07,11,9,6.714285714285714,75.0,12.900709219858156,31.0,0.146,-1.9241486572738007,
2014144,2014,m,2014-05-13,17,9,6.714285714285714,75.0,12.900709219858156,31.0,0.143,-1.9449106487222299,
2014145,2014,m,2014-04-27,0,10,5.833333333333333,66.83333333333333,12.900709219858156,29.0,0.158,-1.8451602459551701,1.5
2014145,2014,m,2014-04-27,0,10,5.833333333333333,66.83333333333333,12.900709219858156,29.0,0.116,-2.1541650878757723,1.5
2014145,2014,m,2014-04-30,3,10,5.833333333333333,66.83333333333333,12.900709219858156,29.0,0.101,-2.2926347621408776,
2014145,2014,m,2014-05-03,6,10,5.833333333333333,66.83333333333333,12.900709219858156,29.0,0.103,-2.2730262907525014,
2014145,2014,m,2014-05-07,10,10,5.833333333333333,66.83333333333333,12.900709219858156,29.0,0.094,-2.364460496712133,
2014145,2014,m,2014-05-13,16,10,5.833333333333333,66.83333333333333,12.900709219858156,29.0,0.096,-2.3434070875143007,
2014146,2014,m,2014-05-01,0,14,2.5,11.0,12.900709219858156,31.0,,,1.85
2014146,2014,m,2014-05-03,2,14,2.5,11.0,12.900709219858156,31.0,0.151,-1.8904754421672127,
2014146,2014,m,2014-05-03,2,14,2.5,11.0,12.900709219858156,31.0,0.154,-1.870802676568508,
2014146,2014,m,2014-05-07,6,14,2.5,11.0,12.900709219858156,31.0,0.147,-1.9173226922034008,
2014147,2014,m,2014-04-27,0,10,2.0,7.6,12.900709219858156,30.0,0.16,-1.8325814637483102,1.9
2014147,2014,m,2014-04-27,0,10,2.0,7.6,12.900709219858156,30.0,0.163,-1.8140050781753747,1.9
2014147,2014,m,2014-04-29,2,10,2.0,7.6,12.900709219858156,30.0,,,1.6
2014147,2014,m,2014-04-30,3,10,2.0,7.6,12.900709219858156,30.0,0.136,-1.995100393246085,
2014147,2014,m,2014-05-02,5,10,2.0,7.6,12.900709219858156,30.0,,,1.5
2014148,2014,m,2014-04-27,0,10,4.666666666666667,38.666666666666664,12.900709219858156,30.0,0.182,-1.7037485919053417,
2014148,2014,m,2014-05-01,4,10,4.666666666666667,38.666666666666664,12.900709219858156,30.0,,,1.55
2014148,2014,m,2014-05-07,10,10,4.666666666666667,38.666666666666664,12.900709219858156,30.0,0.14,-1.9661128563728327,
2014149,2014,m,2014-04-27,0,10,7.4,77.0,12.900709219858156,33.0,0.242,-1.4188175528254507,
2014149,2014,m,2014-05-01,4,10,7.4,77.0,12.900709219858156,33.0,,,1.8
2014149,2014,m,2014-05-07,10,10,7.4,77.0,12.900709219858156,33.0,0.154,-1.870802676568508,1.7
2014149,2014,m,2014-05-07,10,10,7.4,77.0,12.900709219858156,33.0,0.154,-1.870802676568508,1.7
2014149,2014,m,2014-05-10,13,10,7.4,77.0,12.900709219858156,33.0,,,1.625
2014150,2014,m,2014-04-27,0,10,1.6666666666666667,4.333333333333333,12.900709219858156,32.0,0.232,-1.4610179073158271,
2014150,2014,m,2014-04-29,2,10,1.6666666666666667,4.333333333333333,12.900709219858156,32.0,,,1.8
