Block,ID,Family,DevT,AdultT,Overall_treatment,Sex,Adult_age,Daily_Eggs,Adult_lifespan,individual
A,AP15,AP,h,h,HH,f,1,0,2,A_AP_AP15
A,AP15,AP,h,h,HH,f,2,0,2,A_AP_AP15
B,BI28,BI,h,h,HH,f,1,13,2,B_BI_BI28
B,BI28,BI,h,h,HH,f,2,1,2,B_BI_BI28
B,BN22,BN,h,h,HH,f,1,0,2,B_BN_BN22
C,CW11,CW,h,h,HH,f,1,2,2,C_CW_CW11
C,CW11,CW,h,h,HH,f,2,0,2,C_CW_CW11
A,AB15,AB,a,h,AH,f,1,37,3,A_AB_AB15
A,AB15,AB,a,h,AH,f,2,8,3,A_AB_AB15
A,AB15,AB,a,h,AH,f,3,0,3,A_AB_AB15
A,AF10,AF,h,h,HH,f,1,31,3,A_AF_AF10
A,AF10,AF,h,h,HH,f,2,2,3,A_AF_AF10
A,AF10,AF,h,h,HH,f,3,0,3,A_AF_AF10
A,AL16,AL,h,h,HH,f,1,40,3,A_AL_AL16
A,AL16,AL,h,h,HH,f,2,0,3,A_AL_AL16
A,AQ10,AQ,a,h,AH,f,1,20,3,A_AQ_AQ10
A,AQ10,AQ,a,h,AH,f,2,7,3,A_AQ_AQ10
A,AQ10,AQ,a,h,AH,f,3,0,3,A_AQ_AQ10
A,AQ16,AQ,h,h,HH,f,1,1,3,A_AQ_AQ16
A,AQ16,AQ,h,h,HH,f,2,0,3,A_AQ_AQ16
A,AQ16,AQ,h,h,HH,f,3,0,3,A_AQ_AQ16
B,BF16,BF,h,h,HH,f,1,31,3,B_BF_BF16
B,BF16,BF,h,h,HH,f,2,11,3,B_BF_BF16
B,BF16,BF,h,h,HH,f,3,1,3,B_BF_BF16
B,BH16,BH,h,h,HH,f,1,20,3,B_BH_BH16
B,BH16,BH,h,h,HH,f,2,1,3,B_BH_BH16
B,BH16,BH,h,h,HH,f,3,0,3,B_BH_BH16
B,BN17,BN,h,h,HH,f,1,27,3,B_BN_BN17
B,BN17,BN,h,h,HH,f,2,6,3,B_BN_BN17
B,BN17,BN,h,h,HH,f,3,0,3,B_BN_BN17
B,BW8,BW,h,h,HH,f,1,40,3,B_BW_BW8
B,BW8,BW,h,h,HH,f,2,14,3,B_BW_BW8
B,BW8,BW,h,h,HH,f,3,4,3,B_BW_BW8
B,BX17,BX,h,a,HA,f,1,0,3,B_BX_BX17
B,BX17,BX,h,a,HA,f,2,0,3,B_BX_BX17
B,BX17,BX,h,a,HA,f,3,0,3,B_BX_BX17
B,BZ29,BZ,h,h,HH,f,1,1,3,B_BZ_BZ29
B,BZ29,BZ,h,h,HH,f,2,0,3,B_BZ_BZ29
B,BZ29,BZ,h,h,HH,f,3,1,3,B_BZ_BZ29
C,CF17,CF,h,h,HH,f,1,0,3,C_CF_CF17
C,CF17,CF,h,h,HH,f,2,0,3,C_CF_CF17
C,CF17,CF,h,h,HH,f,3,0,3,C_CF_CF17
C,CX18,CX,a,h,AH,f,1,6,3,C_CX_CX18
C,CX18,CX,a,h,AH,f,2,0,3,C_CX_CX18
A,AA15,AA,a,h,AH,f,1,23,4,A_AA_AA15
A,AA15,AA,a,h,AH,f,2,24,4,A_AA_AA15
A,AA15,AA,a,h,AH,f,3,16,4,A_AA_AA15
A,AA15,AA,a,h,AH,f,4,2,4,A_AA_AA15
A,AB20,AB,a,h,AH,f,1,32,4,A_AB_AB20
A,AB20,AB,a,h,AH,f,2,25,4,A_AB_AB20
A,AB20,AB,a,h,AH,f,3,11,4,A_AB_AB20
A,AB20,AB,a,h,AH,f,4,0,4,A_AB_AB20
A,AH8,AH,a,h,AH,f,1,7,4,A_AH_AH8
A,AH8,AH,a,h,AH,f,2,2,4,A_AH_AH8
A,AH8,AH,a,h,AH,f,3,0,4,A_AH_AH8
A,AH8,AH,a,h,AH,f,4,0,4,A_AH_AH8
A,AJ5,AJ,h,h,HH,f,1,22,4,A_AJ_AJ5
A,AJ5,AJ,h,h,HH,f,2,12,4,A_AJ_AJ5
A,AJ5,AJ,h,h,HH,f,3,5,4,A_AJ_AJ5
