box,id,age,sex,total.act,age.death,age.group20
a1,a1.blue,1,m,959,19,2.Average
a1,a1.blue,7,m,569,19,2.Average
a1,a1.blue,14,m,986,19,2.Average
a1,a1.gold,1,m,234,25,2.Average
a1,a1.gold,7,m,655,25,2.Average
a1,a1.gold,14,m,824,25,2.Average
a1,a1.gold,21,m,878,25,2.Average
a1,a1.green,1,m,732,13,2.Average
a1,a1.green,7,m,938,13,2.Average
a1,a1.lightblue,1,m,316,25,2.Average
a1,a1.lightblue,7,m,665,25,2.Average
a1,a1.lightblue,14,m,706,25,2.Average
a1,a1.lightblue,21,m,823,25,2.Average
a1,a1.orange,1,m,437,28,2.Average
a1,a1.orange,7,m,112,28,2.Average
a1,a1.orange,14,m,221,28,2.Average
a1,a1.orange,21,m,281,28,2.Average
a1,a1.pink,1,m,134,29,2.Average
a1,a1.pink,7,m,529,29,2.Average
a1,a1.pink,14,m,567,29,2.Average
a1,a1.pink,21,m,388,29,2.Average
a1,a1.purple,1,m,301,25,2.Average
a1,a1.purple,7,m,779,25,2.Average
a1,a1.purple,14,m,702,25,2.Average
a1,a1.purple,21,m,581,25,2.Average
a1,a1.red,1,m,150,27,2.Average
a1,a1.red,7,m,476,27,2.Average
a1,a1.red,14,m,765,27,2.Average
a1,a1.red,21,m,373,27,2.Average
a1,a1.white,1,m,83,27,2.Average
a1,a1.white,7,m,260,27,2.Average
a1,a1.white,14,m,495,27,2.Average
a1,a1.white,21,m,656,27,2.Average
a1,a1.yellow,1,m,131,19,2.Average
a1,a1.yellow,7,m,230,19,2.Average
a1,a1.yellow,14,m,443,19,2.Average
a10,a10.blue,7,m,384,29,2.Average
a10,a10.blue,14,m,554,29,2.Average
a10,a10.blue,21,m,1137,29,2.Average
a10,a10.blue,28,m,0,29,2.Average
a10,a10.gold,7,m,517,34,3.Long
a10,a10.gold,14,m,553,34,3.Long
a10,a10.gold,21,m,705,34,3.Long
a10,a10.gold,28,m,288,34,3.Long
a10,a10.green,1,m,260,29,2.Average
a10,a10.green,7,m,419,29,2.Average
a10,a10.green,14,m,442,29,2.Average
a10,a10.green,21,m,876,29,2.Average
a10,a10.lightblue,1,m,535,29,2.Average
a10,a10.lightblue,7,m,717,29,2.Average
a10,a10.lightblue,14,m,783,29,2.Average
a10,a10.lightblue,21,m,924,29,2.Average
a10,a10.lightblue,28,m,0,29,2.Average
a10,a10.orange,1,m,470,29,2.Average
a10,a10.orange,7,m,866,29,2.Average
a10,a10.orange,14,m,545,29,2.Average
a10,a10.orange,21,m,757,29,2.Average
a10,a10.orange,28,m,0,29,2.Average
a10,a10.pink,1,m,326,29,2.Average
a10,a10.pink,7,m,325,29,2.Average
a10,a10.pink,14,m,466,29,2.Average
a10,a10.pink,21,m,276,29,2.Average
a10,a10.purple,1,m,509,29,2.Average
a10,a10.purple,7,m,409,29,2.Average
a10,a10.purple,14,m,439,29,2.Average
a10,a10.purple,21,m,749,29,2.Average
a10,a10.purple,28,m,75,29,2.Average
a10,a10.red,1,m,225,27,2.Average
a10,a10.red,7,m,531,27,2.Average
a10,a10.red,14,m,462,27,2.Average
a10,a10.red,21,m,583,27,2.Average
a10,a10.white,7,m,1326,29,2.Average
a10,a10.white,14,m,824,29,2.Average
a10,a10.white,21,m,991,29,2.Average
a10,a10.white,28,m,0,29,2.Average
a10,a10.yellow,7,m,188,22,2.Average
a10,a10.yellow,14,m,798,22,2.Average
a11,a11.blue,1,m,6,7,1.Short
a11,a11.gold,1,f,619,42,2.Average
a11,a11.gold,14,f,1204,42,2.Average
