NestID,Year,Female ID,Reproductive Age,Clutch Number,Julian Oviposition Date,Clutch size,Depredated?,Number Alive Hatchlings,Plastron Length (mm),Avg Egg Mass (g),Total Clutch Mass (g),Avg Hatchling Mass (g),Nest distance to water (meter),Nest canopy cover (S + W)
1997002,1997,622,1,1,159,7,NO,5,146,6.62,46.33,3.89,70,103
1997008,1997,624,1,1,161,12,YES,0,167,7.61,91.27,,26,25
1997010,1997,617,1,1,161,11,NO,11,166,8.07,88.82,5.49,32,115
1997015,1997,619,1,1,161,7,YES,0,152,6.16,43.1,,33,126
1997020,1997,417,1,1,162,9,NO,9,154,7.25,65.29,4.79,76,163
1997025,1997,618,1,1,162,10,NO,10,156,7.06,70.61,4.92,19,26
1997026,1997,234,1,1,162,8,NO,8,150,6,48.03,3.99,16,59
1997031,1997,156,1,1,163,10,NO,2,153,6.08,60.82,4.79,44,17
1997032,1997,402,1,1,163,14,NO,14,UNK,7.69,107.6,5.11,10,23
1997033,1997,620,1,1,163,12,YES,0,157,7.11,85.37,,5,2
1997034,1997,625,1,1,163,13,NO,13,157,6.15,80.01,4.4,46,111
1997035,1997,631,1,1,163,9,NO,6,144,6.39,57.49,3.77,50,68
1997038,1997,488,1,1,163,10,NO,7,145,5.59,55.91,3.83,20,34
1997039,1997,633,1,1,163,11,YES,0,153,4.7,51.75,,6,3
1997041,1997,635,1,1,163,11,NO,9,153,5.55,61.07,3.68,20,81
1997042,1997,637,1,1,164,9,NO,8,143,5.87,52.83,3.68,33,58
1997043,1997,626,1,1,164,12,NO,9,150,6.57,78.81,4.56,44,32
1997044,1997,629,1,1,164,11,NO,8,156,6.51,71.56,4.24,44,56
1997051,1997,630,1,1,164,8,NO,7,139,5.98,47.81,3.9,21,98
1997055,1997,201,1,1,164,15,NO,7,158,5.88,88.25,4.49,12,51
1997061,1997,57,1,1,166,10,NO,10,154,7.13,71.31,5.01,38,138
1997065,1997,646,1,1,167,11,NO,10,169,8.01,88.12,5.24,39,167
1997066,1997,248,1,1,167,11,NO,9,156,6.81,74.96,4.59,52,151
1997068,1997,648,1,1,167,10,NO,2,148,5.91,59.06,2.92,68,114
1997069,1997,148,1,1,167,12,NO,10,153,6.38,76.56,4.29,29,52
1997071,1997,649,1,1,167,10,NO,9,139,7.03,70.32,4.72,63,83
1997074,1997,650,1,1,167,8,NO,4,145,5.75,46.03,3.54,32,155
1997077,1997,643,1,1,169,11,NO,9,154,6.6,72.6,4.73,68,85
1997079,1997,644,1,1,169,8,NO,8,145,6.61,52.9,4.29,10,87
1997085,1997,642,1,1,170,7,NO,7,139,5.85,40.92,3.6,13,40
1997089,1997,111,1,1,170,12,YES,0,156,7.1,85.21,,8,53
1997090,1997,645,1,1,170,8,NO,7,152,6.83,54.6,4.52,11,35
1997091,1997,689,1,1,171,9,NO,4,148,5.34,48.06,2.56,3,37
1997095,1997,235,1,1,171,14,NO,14,165,6.26,87.64,4.24,9,110
1997096,1997,698,1,1,172,13,YES,0,146,5.25,68.22,,45,60
1997099,1997,704,1,1,173,13,YES,0,155,5.57,72.37,,39,135
1997101,1997,234,1,2,173,10,NO,5,150,5.55,55.47,3.69,54,47
1997103,1997,624,1,2,174,16,NO,15,167,6.86,109.69,4.4,12,53
1997107,1997,87,1,1,174,10,NO,9,153,6.22,62.22,3.92,5,74
1997112,1997,705,1,1,174,9,NO,7,157,4.53,40.77,3.15,7,98
1997114,1997,637,1,2,175,12,NO,9,144,5.06,60.66,3.39,10,115
1997118,1997,631,1,2,175,9,NO,9,145,6.46,58.18,4.21,25,63
1997119,1997,706,1,1,175,9,NO,9,146,5.98,53.81,3.94,9,89
1997145,1997,696,1,1,175,8,NO,4,148,5.36,42.88,3.67,15,30
1997149,1997,199,1,1,175,9,NO,5,150,6.03,54.3,4.3,6,64
1997157,1997,629,1,2,176,16,YES,0,156,5.87,93.99,,27,90
1997159,1997,626,1,2,176,8,NO,1,151,6.22,49.74,3.25,35,16
1997161,1997,648,1,2,176,10,YES,0,148,5.73,57.31,,25,117
1997166,1997,646,1,2,177,9,YES,UNK,169,7.46,67.13,4.87,41,63
1997170,1997,57,1,2,177,7,NO,7,155,6.79,47.5,3.8,59,43
